controle;ano;MES;titulo;titulo_do;total_rbft;lei;conteudo;DP;cisp;hora_com;hora_fato;bairro_fato;municipio_fato;AISP;RISP;local;sexo;idade;cor;escolaridade;profissao;relacao;bairro_vit;municipio_vit;data_fato;data_com;data_nasc
00002751-2018;2018;janeiro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;081a. Itaipú;12:22:53;22:40;< bairro nao cadastrado >;Niterói;AISP 12;RISP 04;Residência;masculino;49;branca;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;9/01/2018;10/01/2018;25/09/1968
00024561-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;034a. Bangu;15:39:15;10:00;Bangu;Rio de Janeiro;AISP 14;RISP 02;Ignorado;masculino;23;parda;Ignorado;Ignorado;Ignorado;Campo grande;Rio de janeiro;25/05/2018;25/05/2018;27/06/1994
00033811-2018;2018;novembro;Homicídio (outros) - Tentativa;Tentativa de homicídio;não se aplica;Não;vítimas;110a. Teresópolis;110a. Teresópolis;09:03:53;23:40;Santa cecilia;Teresópolis;AISP 30;RISP 07;Via pública;masculino;34;parda;1º Grau incompleto;Desempregado(a);Ignorado;Meudon;Teresopolis;24/11/2018;25/11/2018;8/10/1984
00033811-2018;2018;novembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;110a. Teresópolis;110a. Teresópolis;09:03:53;23:40;Santa cecilia;Teresópolis;AISP 30;RISP 07;Via pública;masculino;32;branca;1º Grau incompleto;Carpinteiro(a);Ignorado;Santa cecilia;Teresopolis;24/11/2018;25/11/2018;27/03/1986
00064561-2018;2018;fevereiro;Feminicídio;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;062a. Imbariê;17:05:00;12:15;Vila capixaba;Duque de Caxias;AISP 15;RISP 03;Residência;feminino;22;preta;Ignorado;Ignorado;Ignorado;sem informação;sem informação;27/02/2018;27/02/2018;19/09/1995
00067351-2018;2018;outubro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;058a. Posse;09:56:09;19:00;Caioaba;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;22;branca;Ignorado;Ignorado;Ignorado;Caioaba;Nova iguacu;14/10/2018;14/10/2018;14/07/1996
00067351-2018;2018;outubro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;058a. Posse;09:56:09;19:00;Caioaba;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;23;parda;1º Grau completo;Outros;Ignorado;Caioaba;Nova iguacu;14/10/2018;14/10/2018;21/05/1995
00070611-2018;2018;outubro;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;016a. Barra da Tijuca;016a. Barra da Tijuca;02:17:09;00:00;Barra da tijuca;Rio de Janeiro;AISP 31;RISP 02;Ignorado;masculino;35;preta;Ignorado;Ignorado;Ignorado;sem informação;sem informação;7/10/2018;6/10/2018;13/04/1983
00081941-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;058a. Posse;12:57:18;00:00;Adrianopolis;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino; ;branca;Sem informação;sem informação;Ignorado;sem informação;sem informação;22/03/2018;22/03/2018; 
00156861-2018;2018;julho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;054a. Belford Roxo;10:22:43;00:00;Palmeira;Belford Roxo;AISP 39;RISP 03;Favela;feminino;41;preta;1º Grau incompleto;Ignorado;Nenhuma;Copacabana;Rio de janeiro;3/07/2018;3/07/2018;28/08/1976
